username,follower,following,media,average_like,average_comment,average_reach
joy_illust,692,436,103,118.45,12.6,320
push_doll,2493,865,943,441.4,28.11,2294
sangmoo_music,368,470,10,73.14,3.0,696
kim___j___h___,1836,1339,82,276.55,20.33,693
i_am._.suhwan,1360,901,35,1170.89,23.0,3937
k.i.m.___space,225,299,2,36.5,0.5,173
light_lyoh,88,166,71,10.0,2.5,81
e._.yell,233,229,4,225.5,6.0,651
i_like_being_cute,255,187,68,80.22,11.6,177
mongnyang_i,340,530,74,63.0,2.11,100
bottle_cold.j,672,601,12,121.33,5.67,477
kuxiro_,865,624,22,413.22,11.75,1177
irreplaceable_sw_,362,250,24,128.75,1.0,973
bbio_o,664,345,21,87.67,2.0,373
garl_ik2,406,355,14,218.57,24.57,834
samtori_99,743,436,12,132.44,8.6,842
hxzxxo,123,35,8,9.4,0.0,42
si_hyun_g,5929,196,85,766.1,3.71,951
liu_xia_day,35,38,4,55.0,8.0,101
p____q_zz,207,191,4,101.5,11.33,331
en.chante__,1036,456,59,222.78,9.1,1148
xxe_ya,664,458,149,98.18,3.86,381
tmtkdi,229,225,0,0.0,0.0,0
uwollee,2142,105,206,105.36,4.0,439
hyochef,1759,1242,1077,146.8,5.88,3845
levy__fashion,2658,755,25,328.44,48.5,770
team1llusion,25383,609,368,512.0,11.38,5822
im.___.jun,1305,237,17,240.67,25.75,487
_hc.willbehappy,139,149,80,31.11,1.43,107
yeom_ily,319,258,25,80.56,3.7,405
ttoreu_0726,2124,987,234,220.2,29.9,435
leesung6246,446,450,57,65.08,1.14,599
xx_semin,1036,377,66,168.1,31.12,612
ee____zz,1580,712,303,232.62,46.09,753
fineadple_official,15735,177,570,495.7,2.33,283
sihoo._.n,552,352,110,45.17,9.17,165
window_0909,413,209,14,60.78,5.67,351
yoo_j_amy,2084,589,983,222.33,21.22,1211
jeongansu7,1876,460,129,152.73,3.8,694
juamom1.5,993,201,49,41.75,6.56,217
yoony00n,835,803,293,76.5,5.86,402
sieun__28,3330,250,25,133.67,6.45,400
charm_ing____,169,99,0,0.0,0.0,0
ga.o_ov.eul,204,103,2,36.0,12.5,234
p_lum0_0,1055,296,24,358.75,12.0,833
seogong_17.0,503,105,23,98.0,23.86,204
ummm__31,407,414,19,124.8,5.67,551
kimminkoya,233,529,40,50.5,11.4,304
m.s_ho,1722,1011,151,80.67,3.88,467
nnjh_1991,506,492,142,119.67,0.88,233
qkrgudrb0214,1021,1423,56,49.67,0.0,125
wu.duly,3202,831,71,387.88,4.91,1034
_fit.2k,1941,1012,116,217.0,4.29,1118
vel_hong_,1531,1009,67,293.56,5.27,1203
rainbow_sprout,867,658,119,148.0,9.22,648
hyo_and_butterfly,297,131,57,171.82,14.12,395
winner_is_ji,2384,595,35,167.29,0.22,1385
toripopyoon,5543,3087,167,443.67,3.38,1867
hi__et,1230,417,32,419.9,75.43,1156
kimcksdud_,2594,487,44,375.5,9.89,1649
sangmin030322,436,2048,37,20.0,0.2,180
ho_onfilm_,697,363,133,78.0,3.0,225
1999_sin,1662,789,28,423.62,51.5,1308
nell_dohyun,1062,513,99,235.4,10.44,694
redtt_golf,778,759,29,224.75,4.8,447
hyunlll_,182,290,20,22.67,0.1,86
winter._.s2,1500,723,32,350.0,44.33,1915
_min_woo05,478,249,5,206.5,26.5,561
way_out_exit,2509,551,40,254.9,17.86,1790
seoeunjeong94,365,451,63,10.67,0.0,84
u_x.ia_,4458,492,104,443.57,13.8,3643
doge_hyeon,156,189,31,24.33,1.25,136
nextchrismas_diary,526,332,49,163.38,4.0,412
w_ooya,1248,396,46,263.5,30.57,1608
ares_design0,72,89,38,7.43,0.11,43
onlyone_ssj,1658,1069,74,141.25,47.92,361
edenn_0623,114,197,2,53.5,14.0,111
kkkim_bsb,96,102,0,0.0,0.0,0
_ju_daon_chae,440,239,76,56.73,5.4,291
99.08_10,2847,531,289,277.75,45.45,566
158.3_c.m,88,66,12,32.12,2.0,140
hw__hong,938,326,134,23.38,0.62,75
yuni___s2,1848,179,29,56.25,1.29,255
950304_jo,197,524,42,13.5,0.0,123
j_h_park20,199,422,29,54.11,2.8,270
young_balance_pic,1034,782,67,232.0,4.14,398
_reappearance,812,594,53,214.55,15.12,860
jojing1597,831,738,344,107.5,2.71,450
_bunnybluebeach_,1218,914,62,583.6,10.75,1401
_hyob,589,287,25,83.0,11.0,436
jjjjojj5,226,226,25,58.5,0.5,263
genie_lee_1,187,177,18,57.67,3.5,258
srll_104,386,114,29,207.0,11.9,466
stocklist21,822,545,37,127.7,1.0,365
ycho_u,2053,710,800,207.3,2.78,843
sung.hyeon,3897,1804,91,571.45,75.4,2329
imigrant_rite,137,119,13,83.2,1.57,191
heumm_changgon,676,390,132,87.0,3.75,413
june_hyuk1208,1348,373,22,492.6,8.71,1891
ho_ya_01,606,600,35,75.0,28.0,365
iridescent_hayoen,133,53,8,33.2,0.0,108
taebin.yang,1733,476,77,286.89,5.78,1634
sk_____golf,837,488,52,236.38,4.27,670
beop._.su,621,247,8,41.2,3.0,191
yeonjewang1,521,201,14,65.78,2.9,341
xy__bella,290,379,26,47.0,11.27,281
baejjang2_,1460,642,520,297.7,21.6,337
sssc_00,864,249,17,417.27,11.73,1543
ll.59pm,101,88,30,34.0,12.0,93
sophomore_aristotle,137,114,79,17.0,0.2,139
ddoowwoo,137,119,8,27.33,2.0,121
hm7_fan,2076,227,381,107.88,3.91,1521
goyoungju621,177,44,0,0.0,0.0,0
h._.__1,3213,433,29,123.5,6.0,876
studio_brightnine,605,66,63,201.6,2.12,173
sseung_7,1342,489,82,25.18,0.1,201
apeach_unni,5805,4785,3152,106.12,18.43,526
hong_s_1004,1039,333,23,258.88,13.55,1669
choe_sagong,259,418,13,33.67,3.8,183
penman_sw,333,44,44,173.12,7.88,224
mong_ii_01,537,329,45,111.11,5.62,450
myoong213,242,139,136,55.38,2.5,193
tmd.gus.kim,329,353,14,125.44,10.78,458
tinkerbell_brow,1305,1075,62,78.67,6.0,209
erumyang,26513,2707,1221,121.0,13.0,447
artistic_life_6l9,600,2699,198,83.11,1.78,586
km__uni,1090,383,69,175.8,8.8,769
tiger_lily_light,166,160,35,21.0,0.5,107
ji__dang,351,405,29,127.12,8.62,287
jintiande_xuexi_zhongwen,56,37,4,17.5,8.0,145
haedam_tattoo,801,472,179,45.6,4.0,243
ji.__meng,587,33,6,56.17,3.75,101
lost_star_22,270,170,14,46.25,4.75,395
04_h_.y,1119,294,17,195.67,3.67,1016
c1x_e,2106,61,14,420.67,10.9,1277
team_fc_sieun,525,224,47,23.83,0.14,40
hanjihyung875,132,196,17,25.0,0.0,120
gy_wls3,112,87,6,35.5,2.0,356
umini.h,672,282,91,133.5,59.25,266
yi_dudu,130,130,11,25.2,3.83,814
dovely_ys,34,80,17,5.4,2.09,24
2seul__1003,804,520,48,215.6,19.44,828
pearlrho_,576,277,22,110.1,9.89,430
iamurgotzzang,1831,467,17,637.0,17.0,1129
whoo_sss,425,391,18,166.88,5.58,537
hyxne92,50,37,40,26.0,2.0,97
heessgallery,198,163,70,47.8,2.67,162
fir_st_ar_1997,443,402,60,59.75,3.88,333
artwork_h42,259,203,24,76.7,1.0,330
jeong_seok_p,971,664,65,208.5,4.82,620
ranun__c_,1645,521,21,158.38,0.14,505
__.hee,159,239,14,22.5,4.5,127
dudgkghd,846,632,9,118.43,3.71,536
se0kk,929,224,18,370.44,12.71,1325
daon_stylebook,252,254,53,10.86,1.89,237
gyu_tattoo,4024,214,331,55.3,2.0,736
d._.hey_,1076,204,166,170.6,9.5,1042
_jayomi_,631,131,102,78.67,5.5,250
qkrehdwns__0325,417,281,1,100.0,12.0,344
ji._won_,726,309,18,172.5,8.45,795
23__jun_h,968,510,25,234.0,12.5,650
suu._.yeoni,773,491,95,128.0,15.33,656
eek.kee7,570,874,12,63.0,0.8,531
t._.go0406,39,121,4,12.0,0.0,40
helloyiseo,4508,875,368,124.57,6.33,504
xeong_won,162,132,3,113.5,10.5,1450
h.a.z.e.r.o,35862,765,223,741.09,119.38,2550
kim_minjae0408,263,250,160,50.78,0.0,159
damdamhaeyo,2713,125,39,521.67,16.2,1728
rastle__fashion,2440,1625,66,637.11,86.75,3845
11anw10,644,426,50,217.38,5.14,631
hxxnjun,913,400,27,61.12,3.91,568
0ohyeoko0,263,104,5,59.0,3.5,532
zerob_94,145,259,51,52.36,3.62,179
m._.yeon9,749,219,14,398.5,6.5,1822
nerd_minnn,519,345,37,38.0,5.75,251
over_pulse_063,430,1011,316,10.14,0.3,100
on.thepia,1605,409,72,380.33,18.33,510
yemon_ade,3729,2448,168,220.8,66.64,394
tattooer_yeon,7233,3506,1354,322.0,9.88,2783
iwannabeaflowerthatneverfall,1270,335,23,112.5,5.67,455
jin_heok2,595,561,11,237.9,22.43,773
jiwoo_h_mom,1576,346,272,45.14,1.0,193
_sol_star,353,357,26,39.5,1.25,147
jo_ramen99,294,189,39,131.89,15.2,304
taerincellderm,2283,1119,769,59.8,1.7,223
park_joyce,11677,3635,2786,36.9,0.11,157
daeheonyee,1706,1067,34,509.5,4.3,1979
minsigiii,1056,800,433,64.38,8.91,393
jxx1_nov,269,190,67,34.33,2.0,165
180h.29,387,427,12,70.4,7.0,328
no.1eyelash,924,429,575,22.5,0.11,182
_hoonja.is.broken_,201,549,2,43.0,4.0,450
syw_0311,1233,476,39,153.89,2.0,890
jiwoong___s,585,340,42,136.33,23.75,528
ddaeng._.7,10574,475,92,131.33,7.73,617
bakseoko,927,599,56,93.89,12.1,707
gj_event_,1656,306,9,84.0,4.0,192
yhj.0813,2027,224,209,94.55,18.9,236
seo_minu_0529,165,367,41,13.5,0.0,98
ya9416,1131,271,33,66.5,31.5,206
space_big_star__,1188,182,17,231.86,0.33,628
shoesneverworn,1155,574,24,53.33,5.33,377
mxnwxxk,4828,190,3,1066.0,45.5,2769
beauty_han618,76,90,77,18.2,2.18,70
k2safety,3781,104,426,28.7,0.08,769
sanyoung_illust_daylife,98,257,51,30.4,0.0,83
hrrrrra._.m,1117,777,18,231.0,7.4,959
cheungs_landscape,1103,820,471,115.9,3.25,292
ybly_yen,541,227,184,24.12,1.8,47
bjh_0416,1767,238,141,98.25,2.71,412
toro_moongchi_mom,1532,2890,917,11.2,0.5,95
soonsu_studio,6933,21,146,205.42,3.0,2217
pompompu._.rin,867,450,12,243.9,7.55,1164
c_mf0,829,1092,154,54.9,0.11,113
nachotime_,1746,2309,194,134.6,11.27,650
1g_yum,1180,630,41,163.67,11.67,538
bibi.bigpotato_,2827,890,625,29.67,2.56,154
staycoolxid,459,109,106,47.67,6.0,201
bo_kyoung522,2493,372,19,687.0,21.0,2035
si_eun_22,1274,426,122,80.0,28.0,167
mimin0ir,992,95,98,243.12,7.67,1439
soo330123,6877,395,124,83.88,2.56,244
lovedanune,9913,6894,1986,61.91,1.11,895
ichu_bebe,8409,6782,2114,69.36,5.67,676
uni._.uniluv,1086,4093,1774,6.0,0.0,117
hajun____mom,4389,3720,4106,20.75,0.14,106
yesunah3223,11997,6100,1831,41.38,1.89,729
geonri_mom,5119,2687,1580,57.2,5.5,476
hoooongs.bebe,2050,1402,906,21.0,1.5,247
kimjinkyung_1203,4002,3472,2005,24.2,0.57,487
200425.i,1163,2332,491,16.82,6.43,138
skyalrud,4424,3521,1249,17.33,0.29,135
bebe___lucca,873,820,1408,13.2,1.3,150
zzingzzing_bebe,2413,1855,1365,20.78,0.0,215
eunyuri_76,2682,3487,440,19.0,0.09,86
lo_hui_,1253,255,12,38.67,2.0,187
lwj_1317,281,213,23,54.73,3.44,333
gxittizr,256,139,9,211.57,5.56,407
crabappl.ee,10,43,3,9.67,0.0,30
common_cody,1586,1266,23,406.8,38.0,995
_milooy,675,280,60,90.5,8.71,318
jjung__1379,147,331,42,25.7,2.9,92
qvo_yejin,2260,649,39,351.89,9.44,1664
hodu__jwan,1644,1137,77,243.14,48.22,951
ww_luv_je,2015,623,81,337.2,66.56,1371
luv_chae1mom,1094,652,1550,33.5,3.14,196
dahye5317,221,165,113,20.67,0.0,125
eun.xdragon,730,342,57,68.5,2.33,287
hxxrlin,1188,706,61,130.7,2.89,544
iiios00,341,150,18,293.5,21.38,705
s.yeon_spring,134,56,13,10.6,0.0,62
double_mochi_,150,320,38,15.09,0.1,169
iliveinyourinterest,681,144,9,340.86,0.0,2131
sun._.c00l,722,459,14,112.0,11.0,380
yj_may0529,5,1,5,2.33,0.0,16
ixsjun,417,95,6,48.2,7.33,305
mori._.cat,24844,2663,491,4422.75,57.5,43859
yulah_104,159,99,57,40.5,0.0,69
bbang_tae_man_sang,4992,919,202,531.22,133.5,2177
_hyejiniyam_,1121,495,24,197.55,13.83,958
ss_u_b,2249,513,58,445.9,9.86,1087
suin0318,112,53,10,36.0,0.0,110
jun_h_323,278,368,15,73.0,2.0,302
sik._98,605,814,22,141.3,5.2,601
fox_dailylook,3569,1778,137,573.89,205.0,1514
paztivboy,528,376,25,64.5,14.0,326
s2_kiery_camp,2074,1062,204,189.0,5.0,398
lily_noa_vintage,126,85,23,16.82,2.0,73
chxxn_93,3628,1643,20,289.78,16.57,1787
k_.ong7788,301,46,6,125.75,2.8,313
nimos_kim_,56,21,50,8.58,0.14,45
up_hyun_02,818,424,31,373.25,21.0,1197
hyorrrrop_._._,896,426,55,137.33,8.18,671
mingue_wrap,312,310,12,60.0,14.0,484
sontldhsx_,41,102,1,9.0,2.0,40
guswl._.cx,938,767,50,207.0,15.56,471
jes2ica_sum01,490,551,42,116.0,4.0,344
18___1.ck,1802,656,18,292.33,2.71,988
dirtlump_,848,198,78,56.3,0.5,517
ordinary_life_beom,345,428,134,21.6,0.22,121
starry_01.21,901,58,29,13.57,0.2,85
ahple_m,1327,322,191,141.75,5.5,600
mw98_____,613,160,7,31.0,2.0,170
haley.oh,688,730,233,101.71,6.0,758
xxk00ng,573,274,157,73.67,5.2,284
tempoyely,3183,608,761,141.75,3.73,448
silverstar_byeol,507,272,295,91.0,2.8,110
simon_yu_kr,10014,2107,1498,77.44,4.3,550
y_o___lo,1209,645,63,337.91,8.1,969
dung_ji,1896,947,255,315.9,19.44,1313
m_chaerry,579,282,12,45.0,5.56,304
dydw.o,240,308,0,0.0,0.0,0
thedanceichoseformyall,1054,1171,5,181.6,10.25,1046
blackgumiho,188,165,23,35.33,5.2,90
hi.dodosol,9338,4388,2003,46.5,0.0,320
sohyun.huh,339,473,159,42.2,1.5,229
ji_young____00,13559,941,279,754.67,108.7,3232
twinkle_.__twinkle,1284,1070,39,332.6,37.9,563
csheep,71094,5685,528,795.9,8.64,1164
banananana1235,1365,1116,58,39.89,0.56,111
baesh1124,476,843,88,46.2,0.12,160
bootttto,2444,810,142,137.82,3.89,678
azure_dong,479,311,54,116.38,5.33,305
everyday_smile_go,5355,3981,628,141.27,19.36,383
io_fl_,75,82,21,23.71,0.0,66
c_o_1ooo,1088,218,13,101.44,0.14,1190
lovely_chae.jiyu,1046,2695,616,30.5,5.36,108
hwanga411,169,173,8,36.33,4.0,169
hyun4good,30318,666,753,364.0,7.89,1170
eunni_6893,0,4,0,0.0,0.0,0
flals90,1080,1078,582,59.22,2.5,409
j_and_d01,7920,6590,3715,60.2,2.0,386
han_hansae,341,409,35,49.0,4.29,315
jooyh93,1249,571,229,115.27,8.7,775
jiyeon_irene_lee,732,684,221,65.42,6.38,365
seung_ui,3662,522,483,245.5,8.78,1525
dahazzii,4295,660,87,82.0,1.7,629
k_heesun_04,402,154,30,70.75,6.9,435
ganzi_0907,9337,3283,1756,301.0,12.14,906
no3y.ash_linn,285,565,32,44.5,4.45,214
zi_s__5,847,400,93,31.0,2.0,108
aboutdaheui_ch3,871,829,1350,45.43,3.67,498
0310_jaemin,3142,182,33,629.0,15.12,3530
k_th97,4507,3275,52,565.0,24.88,1754
kawa683_,2012,326,62,197.0,2.38,687
chae_jjin,583,497,241,112.44,9.33,622
yoking_._,246,49,8,48.5,5.5,252
geniecup_daily,45,50,40,6.0,1.0,37
yun_n0918,3043,701,1407,34.44,1.1,134
big_sparkle_k,552,70,5,740.0,12.0,2745
eunho_mommom,1397,1007,381,38.3,6.8,219
zeanne._,995,202,23,123.62,2.0,1369
dong_ban16,55,41,6,66.25,0.5,80
274sell,57,0,41,12.8,1.9,140
s__oohan,460,249,23,171.5,16.83,578
yeony_m0m,1695,2116,323,23.89,2.0,142
eekdzhd,520,398,105,64.5,0.14,270
middle__m,1761,262,123,104.45,9.25,877
d_ki000,0,0,2,8.0,7.5,22
hwaniez,12458,291,687,187.33,8.67,834
baseball_ssul,479,11,20,20.12,0.17,220
unique.hye,1345,681,298,230.27,13.25,798
_rico.mama,1081,559,393,51.67,4.0,185
okensseoul,334,149,92,38.78,3.0,302
yoojeong131,202,233,31,8.22,0.0,56
1129honey,1074,424,148,278.18,14.12,1533
start.your.line,2405,329,215,248.89,11.64,2910
hey_ryuxx,449,723,22,58.86,4.0,799
